MUSICA,LINKS,TEXTO
Primeira Estrada,https://www.vagalume.com.br/djavan/primeira-estrada.html,"Primeira  Estrada Djavan D Esse seu coração Nunca foi tão frio Da pra ver a ilusão Na beira do rio Rio Imploro pra você ficar Quem disse que fica? Não fica! Com tanto pra lhe dar E você modifica Fica Campos que florirão Num sertão de vinho Você se vai sem razão E leva o caminho De vez Como é que vai ser Pra viver Precisando tanto De você Se alguém sabe de amor Por favor, me fale Se era amor, por que acabou? Quem amou não sabe Não se sabe Só um pouco de atenção Encheria-me de brios No mar do meu coração Trago os meus navios Ávidos Pra resistir e proteger De todo o perigo Digo Ficar sem você, já vou dizer Não consigo! Sigo Sonhei com um grande amor E o que tive foi nada O que era doce acabou Na primeira estrada Nada Como é que vai ser Pra viver Precisando tanto De você? Se alguém sabe de amor Por favor me fale Se era amor por que acabou? Quem amou nunca sabe Não se sabe"
Nada Mais Sou,https://www.vagalume.com.br/djavan/nada-mais-sou.html,"Nada  Mais  Sou Djavan D Te vi Fiquei só Ali Quase sem voz Não fui capaz Nem de um Oi, meu! Me deu Foi medo de te olhar Sei lá! E se ela nem Me vir Me ignorar Posso morrer De verdade Ou mais Nunca saberei O que é o amor Na terra Já não há mais lugar Passo a frequentar O desprazer Vou viver só por viver Sem existir Nada mais sou Se é que eu já fui Sem teu calor O que eu seria Mas a ilusão Que acendeu No coração A luz Não tem porque Se apagar Não"
Ao Menos Um Porto,https://www.vagalume.com.br/djavan/ao-menos-um-porto.html,"Ao  Menos  Um  Porto Djavan D Eu que sou de declamar O seu nome nas ruas Volta pra mim Pra não me destruir Ruim que pode piorar É assim que eu me sinto Não, não se vá Venha cá Vem pra mim Canteiros onde não sei Irei encontrá-los Nas nuvens De quando eu lhe abraço E tudo é tão bom Nada é tão bom Amor que tanto guardei Pra lhe dedicar Sem medir, sem pensar Sem amar não dá pra viver Nem pra morrer Ninguém pode mensurar Quando bate é uma coisa Pra nunca mais Não se vá Vem pra mim Barco a derivar Sem lugar pra ir Sem um mar Nada que vá me garantir Ao menos um porto Na escuridão Que vai ser Caso me diga: não Ninguém pode mensurar Quando bate é uma coisa Pra nunca mais Não se vá Vem pra mim Canteiros onde não sei Irei encontrá-los Nas nuvens De quando eu lhe abraço E tudo é tão bom Nada é tão bom Amor que tanto guardei Pra lhe dedicar Sem medir, sem pensar Sem amar não dá pra viver Nem pra morrer Eu que sou de declamar O seu nome nas ruas Não, não se vá Venha cá Vem pra mim"
Sevilhando,https://www.vagalume.com.br/djavan/sevilhando.html,Sevilhando Djavan D Andaluz é o mar E o negro nosso trigo Cantam pra confirmar Amor em cada abrigo Onde os dois proclamam Que só quem ama Não teme o perigo E não querem nada Além de a todos Com o canto encantar Mas  Sevilha plantou Na  Alagoas nata Um fiel servidor A par do que se trata E uma música negra Vai sevilhando Tudo ali na lata E só é inteiro O que aclama Toda forma de amor Ao se falar de vida Vê-se o quanto é tão sério Nada mais é a vida Que sede de um grande império Deus é quem dá o caminho Mas as pernas são as suas Trate de vencer A tudo quanto for subida Decida Uma é saber como A outra é nada saber Queria sândalo Mas também podia ser camomila Ou mesmo lavanda Ou vanila Para enfrentar o viver
Quase Fantasia,https://www.vagalume.com.br/djavan/quase-fantasia.html,Quase  Fantasia Djavan D Cada vez que eu te enlaço É bom Mas se eu te desfaço É melhor É pura viagem Poderei conquistar a lua Se eu tocar nessa boca tua Nessa paisagem Vaidade é necessária Mas escorrega Quem não a domina bem Desequilibra e cai Fui na trama dos teus passos Sucumbir Quase como se eu fosse um doente E você o elixir Cada vez que eu te enlaço É bom Mas se eu te desfaço É melhor Quase fantasia Se você não tem o poder De recusar ou escolher O que mais teria?
Iluminado,https://www.vagalume.com.br/djavan/iluminado.html,Iluminado Djavan D Fazer o bem É sempre uma coisa dada Sem esperar nada Sem olhar a quem Vamos sorrir Pra não cair em cilada Quem não ri de nada Não sabe o que tem O que fazer? Tudo é possível Como um dia de sol É jogar o anzol Esperar Pra ver o que vem Que venha a nós Voz de todo canto Num alento guiado pelo vento Trazendo o melhor que tem Vem cantar Pra tudo aqui ficar Iluminado Iluminado Iluminar Canta aí Pra tudo aqui seguir Iluminado Iluminado Pra que possa Andar
Solitude,https://www.vagalume.com.br/djavan/solitude.html,Solitude Djavan Vesúvio Amor em queda Mesmo tal moeda Perde cotação Um mundo louco Evolui aos poucos Pela contramão O erro invade Tudo o que é cidade Cai na imensidão Guerra vende armas Mantém cargos Destrói sonhos Tudo de uma vez Sensatez Não tem vez Vidas fardos Meros dados Incontáveis casos De desamor Quanta dor Muita dor Parece tarde Falar de amizade Ver com o coração E desse jeito Reparar defeito Estendendo a mão Guerra vende armas Mantém cargos Destrói sonhos Tudo de uma vez Sensatez Não tem vez Vidas fardos Meros dados Incontáveis casos De desamor Quanta dor Muita dor Quem é que sabe O quanto lhe cabe Dessa solitude? Por isso a hora De fazer é agora Tome uma atitude
Dores Gris,https://www.vagalume.com.br/djavan/dores-gris.html,"Dores  Gris Djavan Vesúvio Sei que não sei Sair de onde quero ficar O meu lugar É aonde eu ainda não fui Vivo assim como quem nem nasceu Esperando você para amar e viver A poesia Quanto mais lida, mais ganha vida Com seu amor Um ser melhor serei O vento austral sopra longitudinal As melenas da nau solidão E as dores gris de quem ama e não é feliz É uma praga que dá na raiz Pois sem você não saberei quem sou Ou o que faço com tanto amor Sei que não sei Sair de onde quero ficar O meu lugar É aonde eu ainda não fui Vivo assim como quem nem nasceu Esperando você para amar e viver A poesia Quanto mais lida, mais ganha vida Com seu amor Um ser melhor serei O vento austral sopra longitudinal As melenas da nau solidão E as dores gris de quem ama e não é feliz É uma praga que dá na raiz Pois sem você não saberei quem sou Ou o que faço com tanto amor"
Cedo Ou Tarde,https://www.vagalume.com.br/djavan/cedo-ou-tarde.html,"Cedo  Ou  Tarde Djavan Vesúvio Azul Vem dos lados de anil Veio assim, nem me viu Mal passou por aqui Aqui Cedo ou tarde é quando? Antes eu me mando Deixo o ar invadir Ali Quem manda é o medo A hora é imprópria pra sorrir Viver assim Com tais dissabores Não é brincadeira Com tantos rancores Faz-se uma fogueira Não sei Mais o que é certo O que decerto é ruim Nem sei de mim Com a dor destruída O que vai ser da vida? A vida soberana Seria desumana Porque o sol da tarde Clareia, mas não arde O mal de quem ama é a fé"
Madressilva,https://www.vagalume.com.br/djavan/madressilva.html,"Madressilva Djavan Vesúvio Vem me iluminar com o teu sorriso Lacrar tudo De aroma igual a madressilva És minha, eu sei Abre-se um céu azul em meio à tempestade glacial É normal porque és minha E cumprir qualquer desejo teu E é sagrado Por precisar pelar meu lado O fogo aquece a lua imersa na luz do amor Tu que me tiraste de um vazio Dores idas Ao teu pensamento eu associo Minha vida Entre os seres de boa sorte que a natureza criou Estou eu porque és só minha Com quem, de mar em mar, avistei Um cais dourado Pra contemplar nosso passado O fogo aquece a lua imersa na luz do amor"
Meu Romance,https://www.vagalume.com.br/djavan/meu-romance.html,Meu  Romance Djavan Vesúvio Tu és meu romance Com toda nuance De um esplendor Serás a primeira E única bandeira De um grande amor E eu sinto o efeito Do ar rarefeito Quando longe estou Eu só sei de mim Pelo teu olhar O que não vem de ti Não me alcançará Onde você vai Sempre me encontrei No topo da paz Ser de quem nos quer é ter Amar a quem se quer é ser Eu sou por amar você Tu és meu romance Com toda nuance De um esplendor Serás a primeira E única bandeira De um grande amor E eu sinto o efeito Do ar rarefeito Quando longe estou Eu só sei de mim Pelo teu olhar O que não vem de ti Não me alcançará Onde você vai Sempre me encontrei No topo da paz Ser de quem nos quer é ter Amar a quem se quer é ser Eu sou por amar você
