NOME;PONTUACAO;COMENTARIO;LOCAL;TIPO;TEMPO_ESPERA;BUSCA_ID
Supermercado Pinheiro - Mondubim;4.2;1.880 comentários;Av. Godofredo Maciel, 4000 - Mondubim, Fortaleza - CE, 60711-502;Supermercado;20 min;Supermercado
Supermercado Pinheiro - Mondubim;4.2;1.880 comentários;Av. Godofredo Maciel, 4000 - Mondubim, Fortaleza - CE, 60711-502;Supermercado;20 min;Supermercado
Supermercado Pinheiro - Mondubim;4.2;1.880 comentários;Av. Godofredo Maciel, 4000 - Mondubim, Fortaleza - CE, 60711-502;Supermercado;20 min;Supermercado
Supermercado Pinheiro - Mondubim;4.2;1.880 comentários;Av. Godofredo Maciel, 4000 - Mondubim, Fortaleza - CE, 60711-502;Supermercado;20 min;Supermercado
Supermercado Rabelo;4.1;267 comentários;Av. Pref. Evandro Ayres de Moura, 250 - Mondubim, Fortaleza - CE, 60810-670;Supermercado;15 min;Supermercado
Alfredo Supermercado;4.1;916 comentários;R. Daura, 587 - Barroso, Fortaleza - CE, 60862-760;Supermercado;15 min;Supermercado
Alfredo Supermercado;4.1;916 comentários;R. Daura, 587 - Barroso, Fortaleza - CE, 60862-760;Supermercado;15 min;Supermercado
Alfredo Supermercado;4.1;916 comentários;R. Daura, 587 - Barroso, Fortaleza - CE, 60862-760;Supermercado;15 min;Supermercado
Alfredo Supermercado;4.1;916 comentários;R. Daura, 587 - Barroso, Fortaleza - CE, 60862-760;Supermercado;15 min;Supermercado
Supermercado Guará (Jacarecanga);4.3;1.786 comentários;Rua Monsenhor Dantas, 2203 - Jacarecanga, Fortaleza - CE, 60010-436;Supermercado;20 min;Supermercado
Supermercado Guará (Jacarecanga);4.3;1.786 comentários;Rua Monsenhor Dantas, 2203 - Jacarecanga, Fortaleza - CE, 60010-436;Supermercado;20 min;Supermercado
Supermercado Guará (Jacarecanga);4.3;1.786 comentários;Rua Monsenhor Dantas, 2203 - Jacarecanga, Fortaleza - CE, 60010-436;Supermercado;20 min;Supermercado
Varejão Supermercados;4.2;455 comentários;Rua Dr. João Amora, 360 - Manuel Sátiro, Fortaleza - CE, 60713-300;Supermercado;15 min;Supermercado
Carnauba Supermercados Aldeota: Frutas, Bebidas, Carnes, Delivery em Fortaleza CE;4.4;556 comentários;Rua Dr. José Lourenço, 1290 - Aldeota, Fortaleza - CE, 60150-060;Supermercado;15 min;Supermercado
Lima's Supermercados;4.3;108 comentários;R. Jorn. Antônio Pontes Tavares, 1149 - Barroso, Fortaleza - CE, 60864-590;Supermercado;15 min;Supermercado
Lima's Supermercados;4.3;108 comentários;R. Jorn. Antônio Pontes Tavares, 1149 - Barroso, Fortaleza - CE, 60864-590;Supermercado;15 min;Supermercado
Mercado Extra;4.0;1.503 comentários;Av. Deputado Oswaldo Studart, 600 - Fátima, Fortaleza - CE, 60411-260;Supermercado;20 min;Supermercado
Hiper Mercadinho Local;3.4;69 comentários;R. São Leopoldo, 611 - Ancuri, Fortaleza - CE, 60874-170;Supermercado;15 min;Supermercado
Carnauba Supermercados Edílson Brasil: Frutas, Bebidas, Carnes, Delivery em Fortaleza CE;4.3;1.194 comentários;Av. Edilson Brasil Soares, 1555 - Edson Queiroz, Fortaleza - CE, 60834-005;Supermercado;15 min;Supermercado
Pronto Mercado;4.4;347 comentários;Av. Barão de Studart, 277 - Meireles, Fortaleza - CE, 60120-013;Supermercado;15 min;Supermercado
Ismael Supermercados | Parque Santa Maria;3.9;929 comentários;R. José Moreira, 670 - Ancuri, Fortaleza - CE, 60873-220;Supermercado;20 min;Supermercado
Baratão Supermercado;4.1;1.373 comentários;Av. Contorno Sul, 333 - Conj. Esperança, Fortaleza - CE, 60763-430;Supermercado;20 min;Supermercado
;;;;;;Supermercado
Supermercado Pinheiro - Washington Soares;4.2;1.540 comentários;Av. Washington Soares, 10008 - Loja 06 - Messejana, Fortaleza - CE, 60843-285;Supermercado;20 min;Supermercado
Pão de Açúcar - Aguanambi;3.9;3.413 comentários;Av. Aguanambi, 1393 - Fátima, Fortaleza - CE, 60055-401;Supermercado;20 min;Supermercado
Pão de Açúcar;4.3;5.332 comentários;Av. da Abolição, 2900 - Meireles, Fortaleza - CE, 60165-081;Supermercado;15-45 min;Supermercado
Bela Vista Supermercado;4.2;131 comentários;av Viriato Ribeiro 835 Proximo a Casa do Vereador Casimiro Neto, Fortaleza - CE, 60442-640;Supermercado;15 min;Supermercado
Bela Vista Supermercado;4.2;131 comentários;av Viriato Ribeiro 835 Proximo a Casa do Vereador Casimiro Neto, Fortaleza - CE, 60442-640;Supermercado;15 min;Supermercado
Bela Vista Supermercado;4.2;131 comentários;av Viriato Ribeiro 835 Proximo a Casa do Vereador Casimiro Neto, Fortaleza - CE, 60442-640;Supermercado;15 min;Supermercado
Lima's Supermercados;4.3;108 comentários;R. Jorn. Antônio Pontes Tavares, 1149 - Barroso, Fortaleza - CE, 60864-590;Supermercado;15 min;Supermercado
Supermercado Araripe - Rede Parceria;4.2;968 comentários;R. Ten. Francisco Paiva, 640 - Bom Jardim, Fortaleza - CE, 60540-468;Supermercado;20 min;Supermercado
Baratão Supermercado;4.1;1.373 comentários;Av. Contorno Sul, 333 - Conj. Esperança, Fortaleza - CE, 60763-430;Supermercado;20 min;Supermercado
Pão de Açúcar;4.2;2.722 comentários;Av. Santos Dumont, 3130 - Aldeota, Fortaleza - CE, 60150-161;Supermercado;15 min;Supermercado
Mercadinho Alves Teixeira;4.2;21 comentários;Rua Coronel Alves Teixeira, 422 - Joaquim Távora (Fortaleza), Fortaleza - CE, 60110-533;Supermercado;10 min;Supermercado
Mercado Casa Grande;4.4;30 comentários;R. Tibúrcio Cavalcante, 1650 - Aldeota, Fortaleza - CE, 60125-100;Supermercado;;Supermercado
Supermercado Guará Presidente Kennedy: Carnes, Frutas, Verduras, Delivery, Fortaleza CE;4.3;3.560 comentários;Av. Dr. Theberge, 2111 - Pres. Kennedy, Fortaleza - CE, 60355-000;Supermercado;20 min;Supermercado
Supermercado Brasileiro - Rodolfo Teófilo;4.4;394 comentários;Rua Monsenhor Furtado, 1000 - Rodolfo Teófilo, Fortaleza - CE, 60430-355;Supermercado;20 min;Supermercado
Pão de Açúcar - Iguatemi;4.2;4.832 comentários;Av. Washington Soares, 85 - Sala A-3 - Agua Fria, Fortaleza - CE, 60811-340;Supermercado;10 min;Supermercado
Santiago Supermercado;4.4;174 comentários;R. Lineu Jucá, 259 - Vila União, Fortaleza - CE, 60420-090;Supermercado;15 min;Supermercado
Open Market Supermercado;4.1;16 comentários;R. Floriano Peixoto, 1051 - Centro, Fortaleza - CE, 60025-130;Supermercado;30 min a 1,5 h;Supermercado
Vitoriano Supermercado;4.1;179 comentários;Rua Padre João Piamarta, 593 - Montese, Fortaleza - CE, 60410-315;Supermercado;15 min;Supermercado
Fortaleza de Ofertas;;;Av. Desembargador Gonzaga, 609 - Cidade dos Funcionários, Fortaleza - CE, 60714-222;;;Supermercado
Pão de Açúcar;4.2;3.319 comentários;Av. Santos Dumont, 1169 - Aldeota, Fortaleza - CE, 60150-160;Supermercado;15-45 min;Supermercado
Fazendinha Supermercado;4.6;752 comentários;R. Vicente Linhares, 1111 - Aldeota, Fortaleza - CE, 60135-270;Supermercado;15 min;Supermercado
Assaí Atacadista;4.1;1.419 comentários;Av. Godofredo Maciel, 86 - Parangaba, Fortaleza - CE, 60710-000;Supermercado;20 min a 1,5 h;Supermercado
Supermercado Pinheiro - Washington Soares;4.2;1.540 comentários;Av. Washington Soares, 10008 - Loja 06 - Messejana, Fortaleza - CE, 60843-285;Supermercado;20 min;Supermercado
Supermercado Guará Parangaba: Carnes, Frutas, Verduras, Delivery, Fortaleza CE;4.4;1.554 comentários;Av. Dr. Silas Munguba, 643 - Parangaba, Fortaleza - CE, 60740-005;Supermercado;20 min;Supermercado
Cordeiro Supermercados;4.2;294 comentários;R. Evaldo Braga, 821 - Conj. Palmeiras, Fortaleza - CE, 60870-210;Supermercado;15 min;Supermercado
Super Portugal;4.2;1.075 comentários;Av. José Leon, 1852 - Cidade dos Funcionários, Fortaleza - CE, 60822-676;Supermercado;15 min;Supermercado
Open Market Supermercado;4.1;16 comentários;R. Floriano Peixoto, 1051 - Centro, Fortaleza - CE, 60025-130;Supermercado;30 min a 1,5 h;Supermercado
Carnauba Supermercados Messejana: Frutas, Bebidas, Carnes, Delivery em Fortaleza CE;4.1;565 comentários;Rua Vicente Nobre Macêdo, 387 - Messejana, Fortaleza - CE, 60841-110;Supermercado;15 min;Supermercado
Hipermarket Supermercado Loja 02;4.3;563 comentários;R. Rubéns Monte, 380 - Jardim Cearense, Fortaleza - CE, 60720-025;Supermercado;15 min;Supermercado
Supermercado Guará Presidente Kennedy: Carnes, Frutas, Verduras, Delivery, Fortaleza CE;4.3;3.560 comentários;Av. Dr. Theberge, 2111 - Pres. Kennedy, Fortaleza - CE, 60355-000;Supermercado;20 min;Supermercado
Fazendinha Supermercado;4.6;752 comentários;R. Vicente Linhares, 1111 - Aldeota, Fortaleza - CE, 60135-270;Supermercado;15 min;Supermercado
Carnauba Supermercados Maestro Lisboa: Frutas, Bebidas, Carnes, Delivery em Fortaleza CE;4.2;1.269 comentários;Av. Maestro Lisboa, 2279 - Sabiaguaba, Fortaleza - CE, 60832-400;Supermercado;15 min;Supermercado
Hipermarket Supermercado Loja 01;4.1;580 comentários;R. Livreiro Gualter, 123 - Vila União, Fortaleza - CE, 60420-130;Supermercado;20 min;Supermercado
Pão de Açúcar;4.2;3.319 comentários;Av. Santos Dumont, 1169 - Aldeota, Fortaleza - CE, 60150-160;Supermercado;15-45 min;Supermercado
Maxxi Atacado;4.3;2.134 comentários;Av. Gen. Osório de Paiva, 2250 - Vila Peri, Fortaleza - CE, 60720-001;Hipermercado;15-45 min;Supermercado
Supermercado;4.6;172 comentários;Couto Fernandes, Fortaleza - CE, 60425-720;Supermercado;15 min;Supermercado
Pontes Supermercado;4.1;602 comentários;Av. Sabino Monte, 4260 - São João do Tauape, Fortaleza - CE, 60120-230;Supermercado;15 min;Supermercado
Super Edilson supermercado;4.2;252 comentários;Tv. Macau, 120 - Bonsucesso, Fortaleza - CE, 60545-430;Supermercado;15 min;Supermercado
